PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1984,10,75,47.48,59.33,97.32,161.54,134.09,420.66,266.53,111.28,118.11,118.91,74.64,50.18,1660.07
PRECTOTCORR_SUM,1984,10,75.625,77.08,72.46,84.19,191.29,114.46,440.86,389.97,144.95,104.24,209.55,88.49,40.87,1958.41
PRECTOTCORR_SUM,1984,10,76.25,110.88,78.12,78.67,201.97,101.25,439.35,507.67,167.1,108.49,316.84,114.31,34.33,2258.98
PRECTOTCORR_SUM,1984,10,76.875,103.65,83.36,78.59,165.01,86.45,299.38,369.76,119.38,102.35,299.27,104.08,28.38,1839.66
PRECTOTCORR_SUM,1984,10,77.5,84.57,97.2,72.86,131.34,57.57,126.79,187.83,64.04,91.89,226.04,79.59,30.86,1250.58
PRECTOTCORR_SUM,1984,10.5,75,34.14,39.32,81.12,158.85,122.47,485.78,315.19,127.93,133.61,122.23,61.85,60.59,1743.08
PRECTOTCORR_SUM,1984,10.5,75.625,45.91,46.76,68.36,187.37,92.14,464.55,387,160.52,114.07,200.82,67.58,59.49,1894.57
PRECTOTCORR_SUM,1984,10.5,76.25,64,50.83,58.29,192.4,75.24,411.24,438.92,181,110.51,304.97,82.97,48.72,2019.09
PRECTOTCORR_SUM,1984,10.5,76.875,66.05,57.95,57.7,117.32,58.36,222.57,267.31,106.64,105.71,282.52,77.83,35.58,1455.54
PRECTOTCORR_SUM,1984,10.5,77.5,62.53,73.98,51.13,67.82,28.88,59.9,121.25,47.17,95.21,203.63,63.04,33.52,908.06
PRECTOTCORR_SUM,1984,11,75,26.42,28.47,69.02,169.75,102.88,562.48,415.51,165.8,155.01,149.68,52.65,61.84,1959.51
PRECTOTCORR_SUM,1984,11,75.625,26.14,31.31,58.63,207.28,71.89,514.86,440.62,196.61,125.03,213.41,53.06,67.37,2006.21
PRECTOTCORR_SUM,1984,11,76.25,31.06,33.15,48.28,204.49,50.82,385.47,394.1,191.12,101.92,286.63,57.21,57.48,1841.73
PRECTOTCORR_SUM,1984,11,76.875,38.31,43.15,51.89,100.22,38.72,148.68,176.51,85.69,99.12,258.62,55.76,40.42,1137.09
PRECTOTCORR_SUM,1984,11,77.5,45.38,65.62,48.28,44.55,19.09,22.06,79.2,35.18,97.49,198.55,50.7,34.46,740.56
PRECTOTCORR_SUM,1984,11.5,75,23.07,22.39,62.21,184.15,86.23,672.25,542.16,223.34,168.67,191.78,48.47,54.9,2279.62
PRECTOTCORR_SUM,1984,11.5,75.625,17.91,22.91,52.21,219.42,58.62,612.63,536.48,251.51,129.66,235.04,44.88,59.88,2241.15
PRECTOTCORR_SUM,1984,11.5,76.25,15.71,24.19,44.74,195.74,35.31,381.02,378.75,199.76,89.19,256.26,39.54,53.16,1713.37
PRECTOTCORR_SUM,1984,11.5,76.875,23.46,36.59,53.77,93.22,31.15,109.25,137.52,72.91,90.2,230.71,40.07,38.6,957.45
PRECTOTCORR_SUM,1984,11.5,77.5,33.62,65.3,55.03,43.57,23.29,15.57,77.7,35.57,104.01,207.25,42.39,33.33,736.63
PRECTOTCORR_SUM,1984,12,75,19.36,19.35,57.12,166.11,71.58,771.27,628.65,279.8,178.87,219.99,45.45,41.51,2499.06
PRECTOTCORR_SUM,1984,12,75.625,11.97,17.81,46.71,181.95,46.51,699.2,588.76,298.68,134.36,232.87,35.93,42.64,2337.39
PRECTOTCORR_SUM,1984,12,76.25,7.71,18.82,43.67,145.44,26.8,372.25,341.69,196.83,80.1,207.64,24.68,37.89,1503.52
PRECTOTCORR_SUM,1984,12,76.875,13.16,31.11,56.43,78.15,31.91,87.74,120.99,66.31,83.38,198.72,25.6,29.47,822.97
PRECTOTCORR_SUM,1984,12,77.5,21.79,62.48,61.53,44.56,32.95,18.81,89.49,40.77,105.84,208.47,31.55,27.83,746.07
PRECTOTCORR_SUM,1984,12.5,75,11.49,16.06,46.25,111.21,46.15,872.89,656.1,353.37,174.13,211.06,32.72,23.71,2555.14
PRECTOTCORR_SUM,1984,12.5,75.625,5.74,13.96,39.08,108.01,28.62,774.59,581.07,345.87,132.36,199.32,22.04,22.41,2273.07
PRECTOTCORR_SUM,1984,12.5,76.25,3.57,14.45,43.07,85.31,21.49,355.62,293.39,184.77,78.56,163.04,13.76,21.35,1278.38
PRECTOTCORR_SUM,1984,12.5,76.875,6.22,24.53,58.95,59.13,35.54,71.83,110.43,60.3,83.38,177.77,14.8,19.46,722.34
PRECTOTCORR_SUM,1984,12.5,77.5,11.93,54.76,65.74,42.76,42.13,21.99,97.19,43.13,99.2,200.36,20.15,20.21,719.55
PRECTOTCORR_SUM,1984,8.5,75,69.22,101.94,125.47,144.18,142.75,257.16,232.99,74.76,101.6,97.55,111.25,17.75,1476.62
PRECTOTCORR_SUM,1984,8.5,75.625,74.39,130.93,130.13,202.74,151.19,271.91,260.6,88.05,81,128.24,110.16,12.93,1642.27
PRECTOTCORR_SUM,1984,8.5,76.25,79.61,140.79,136.85,263.19,150.9,242.47,216.1,76.67,64.52,165.82,106.14,10.27,1653.33
PRECTOTCORR_SUM,1984,8.5,76.875,69.84,129.68,133.81,291.31,139.11,193.37,153.06,57.43,43.62,195.77,82.23,4.92,1494.15
PRECTOTCORR_SUM,1984,8.5,77.5,67.5,132.01,135.22,295.84,134.45,164.71,119.11,39.61,40.76,190.72,82.95,5.41,1408.29
PRECTOTCORR_SUM,1984,9,75,63.23,100.26,112.81,148.46,147.64,291.7,239.75,82.06,103.69,104.91,105.04,21.03,1520.58
PRECTOTCORR_SUM,1984,9,75.625,69.29,130.63,121.98,212.59,155.7,310.58,271.35,103.54,89.74,152.83,110.16,19.11,1747.5
PRECTOTCORR_SUM,1984,9,76.25,94.87,137.09,129.9,264.27,146.27,302.02,295.78,98.9,78.68,214.73,118.9,17.37,1898.78
PRECTOTCORR_SUM,1984,9,76.875,95.05,123.13,125.81,273.27,129.84,246.29,248.33,76.85,56.95,233.3,97.97,11.09,1717.88
PRECTOTCORR_SUM,1984,9,77.5,80.1,134.78,127.53,274.24,122,177.14,161.18,52.15,51.79,209,85.91,11.85,1487.67
PRECTOTCORR_SUM,1984,9.5,75,60.5,85.96,110.86,156.73,139.3,342.06,244.12,94.28,111.2,116.43,91.8,34.84,1588.08
PRECTOTCORR_SUM,1984,9.5,75.625,91.83,104.02,105.34,206.24,134.05,382.01,360.88,123.85,99.16,200.25,105.78,26.93,1940.34
PRECTOTCORR_SUM,1984,9.5,76.25,131.64,109.45,106.76,236.93,122.79,397.24,470.36,132.77,96,290.91,130.4,23.62,2248.87
PRECTOTCORR_SUM,1984,9.5,76.875,120.86,109.28,107.31,229.91,112.37,309.5,371.13,105,82.61,283.26,114.44,20.19,1965.86
PRECTOTCORR_SUM,1984,9.5,77.5,94.15,124.4,105.43,216.29,95,177.58,210.72,67.09,75.15,233.18,88.76,23.2,1510.95
PRECTOTCORR_SUM,1985,10,75,107.82,22.75,21.93,60.59,335.86,447.52,242.54,217.59,106.42,72.41,103.22,60.06,1798.71
PRECTOTCORR_SUM,1985,10,75.625,140.99,18.32,30.35,65.46,324.74,584.03,280.12,214.88,94.73,113.14,90.72,62.75,2020.23
PRECTOTCORR_SUM,1985,10,76.25,125.46,18.4,41.68,76.46,349.88,713.47,288.29,209.84,100.79,161.34,80.82,83.67,2250.1
PRECTOTCORR_SUM,1985,10,76.875,123.88,18.08,32.43,70.28,256.53,533.38,194.34,149.68,101.85,136.22,86.53,69.99,1773.19
PRECTOTCORR_SUM,1985,10,77.5,122.2,15.18,15.02,54.66,117.71,273.37,86.07,76.84,112.84,92.04,94.53,42.35,1102.81
PRECTOTCORR_SUM,1985,10.5,75,79.86,20.69,20.18,62.58,321.37,492.78,289.04,241.67,116.22,79.67,111.13,40.93,1876.12
PRECTOTCORR_SUM,1985,10.5,75.625,103.33,10.23,23.45,55.21,268.66,560.22,303.78,237.04,100.62,109.58,105.27,38.9,1916.29
PRECTOTCORR_SUM,1985,10.5,76.25,96.46,8.71,27.99,56.03,244.5,610.69,280.35,221.58,97.67,142.71,86.98,49.3,1922.97
PRECTOTCORR_SUM,1985,10.5,76.875,103.57,8.05,20.21,52.33,148.54,355.61,149.84,130.17,97.36,103.39,91.77,41.13,1301.97
PRECTOTCORR_SUM,1985,10.5,77.5,108.88,5.73,8.83,41.19,50.81,121.37,46.39,56.56,106.61,60.96,95.25,26.97,729.55
PRECTOTCORR_SUM,1985,11,75,56.14,13.32,18.19,58.96,309.2,609.27,335.51,283.33,123.12,96.26,105.69,29.58,2038.57
PRECTOTCORR_SUM,1985,11,75.625,71.93,5.18,18.92,45.3,245.93,640.24,339.46,282.02,101.9,122.09,102.84,25.06,2000.87
PRECTOTCORR_SUM,1985,11,76.25,72.42,3.13,18.36,38.16,174.46,568.42,278.93,238.78,84.93,135.37,84.88,25.85,1723.69
PRECTOTCORR_SUM,1985,11,76.875,82.93,2.63,12.08,38.88,76.98,232.31,110.43,106.9,86.5,81.04,98.79,20.84,950.31
PRECTOTCORR_SUM,1985,11,77.5,88.41,1.49,5.53,33.97,20.11,51.2,27.98,46.34,102.78,48.77,108.8,16.77,552.15
PRECTOTCORR_SUM,1985,11.5,75,40.28,6.93,16.08,48.35,312.56,792.84,386.6,351.71,130.4,125.87,89.25,26.87,2327.74
PRECTOTCORR_SUM,1985,11.5,75.625,51.68,3.09,15.97,34.02,251.27,791.84,393.11,353.46,102.89,149.2,84.79,21.18,2252.5
PRECTOTCORR_SUM,1985,11.5,76.25,58.06,1,13.89,25.52,146.7,553.19,283.91,255.75,72.67,133.41,75.69,15.5,1635.29
PRECTOTCORR_SUM,1985,11.5,76.875,67.94,0.75,9.97,29.61,56.48,179.87,93.88,93.8,77.93,71.77,97.9,12.26,792.16
PRECTOTCORR_SUM,1985,11.5,77.5,73.19,0.39,6.17,29.13,23.25,48.5,34.45,53.49,105.61,51.95,122.15,13.26,561.54
PRECTOTCORR_SUM,1985,12,75,33.21,3.65,15.72,35.62,295.73,909.61,428.98,422.49,136.59,153.63,79.49,24.49,2539.21
PRECTOTCORR_SUM,1985,12,75.625,40.61,1.27,14.05,22.87,235.4,852.46,432.26,415.81,104.85,167.5,71.09,17.51,2375.68
PRECTOTCORR_SUM,1985,12,76.25,46.4,0.24,10.97,16.57,125.83,484.43,274.51,255.22,67.43,123.15,65.72,9.59,1480.06
PRECTOTCORR_SUM,1985,12,76.875,49.88,0.18,10.42,20.99,58.02,147.93,91.67,84.79,74.93,67.98,85.6,7.96,700.35
PRECTOTCORR_SUM,1985,12,77.5,56.73,0.09,8.6,21.67,39.04,62.4,54.97,66.76,106.36,57.71,117.53,11.39,603.25
PRECTOTCORR_SUM,1985,12.5,75,31.25,0.98,14.03,22.21,240.44,908.09,486.94,501.02,130.47,178.79,73.07,17,2604.29
PRECTOTCORR_SUM,1985,12.5,75.625,34.71,0.18,11.41,14.21,192.02,798.46,466.89,468.6,102.9,174.98,63.6,11.17,2339.13
PRECTOTCORR_SUM,1985,12.5,76.25,32.96,0.06,9.12,11.54,107.06,389.77,256.53,244.31,67.89,110.09,54.67,6.2,1290.2
PRECTOTCORR_SUM,1985,12.5,76.875,30.95,0.04,11.61,14.83,65.4,119.94,96.04,77.63,77.26,67.81,70.38,5.39,637.28
PRECTOTCORR_SUM,1985,12.5,77.5,40.14,0.02,11.13,14.31,55.04,72.1,79.01,73.88,100.93,60.94,97.19,9.34,614.03
PRECTOTCORR_SUM,1985,8.5,75,87.7,29.55,27.16,65.57,316.56,367.12,144.78,187.92,121.02,97.06,100.36,89.39,1634.19
PRECTOTCORR_SUM,1985,8.5,75.625,133.9,49.08,22.75,68.68,322.03,385.06,171.67,180.42,106.95,145.97,111.94,68.96,1767.41
PRECTOTCORR_SUM,1985,8.5,76.25,106.48,54.84,21.63,72.76,290.9,461.14,161.22,146.58,95.01,170.85,123,56.45,1760.86
PRECTOTCORR_SUM,1985,8.5,76.875,66.47,41.56,17.06,69.44,225.94,527.47,128.28,93.51,79.47,163.85,122.73,45.57,1581.35
PRECTOTCORR_SUM,1985,8.5,77.5,67.88,43.78,15.08,68.28,179.89,481.72,106.45,64.11,74.3,161.37,143.05,42.16,1448.07
PRECTOTCORR_SUM,1985,9,75,96.64,29.18,24.08,61.51,319.42,380.82,166.76,178.66,106.3,71.96,103.97,80.25,1619.55
PRECTOTCORR_SUM,1985,9,75.625,152.97,46.09,24.45,68,306.56,437.45,192.7,174.67,91.06,111.17,104.39,60.81,1770.32
PRECTOTCORR_SUM,1985,9,76.25,132.25,50.72,31.73,80.64,316.68,569.36,198.64,153.54,87.72,155.85,106.27,68.78,1952.18
PRECTOTCORR_SUM,1985,9,76.875,88.94,37.55,27.35,76.4,271.4,599.69,164.18,109.14,80.79,164.03,102.64,65.21,1787.32
PRECTOTCORR_SUM,1985,9,77.5,79.99,38.43,16.95,69.37,189.81,478.66,126.18,73.02,84.18,152.85,120.83,48.23,1478.5
PRECTOTCORR_SUM,1985,9.5,75,118.32,23.14,23.32,59.39,325.63,404.05,197.77,191.06,100.63,66.07,101.49,74.88,1685.75
PRECTOTCORR_SUM,1985,9.5,75.625,161.18,28.28,32.65,71.01,346.48,564.65,238.96,189.13,88.11,113.37,87.07,75.07,1995.96
PRECTOTCORR_SUM,1985,9.5,76.25,140.72,32.35,46.18,87.66,391.78,728.19,259.55,182.19,93,167.8,83.26,97.84,2310.52
PRECTOTCORR_SUM,1985,9.5,76.875,119.15,29.58,37.27,81.35,315.56,639.64,202.1,139.78,93.08,160.27,88.94,83.5,1990.22
PRECTOTCORR_SUM,1985,9.5,77.5,107.5,27.95,18.78,67.01,178.92,424.82,121.41,84.99,105.25,128.45,103.88,51.63,1420.59
PRECTOTCORR_SUM,1986,10,75,9.78,43.03,38.29,57.79,72.98,338.84,161.59,170,162.79,64.08,238.67,29.19,1387.03
PRECTOTCORR_SUM,1986,10,75.625,5.02,85.46,43.85,62.92,95.91,342.22,155.66,265.48,159.48,77.23,263.04,17.09,1573.36
PRECTOTCORR_SUM,1986,10,76.25,3.83,113.81,54.87,65.27,127.4,364.88,148.04,344.6,181.43,108.72,184.12,11.36,1708.33
PRECTOTCORR_SUM,1986,10,76.875,6.99,93.1,48.22,62.18,110.93,252.01,101.82,269.92,154.07,102.23,139.57,12.44,1353.48
PRECTOTCORR_SUM,1986,10,77.5,15.57,47.91,33.88,52.31,71,107.7,51.53,152.96,122.81,83.03,106.45,22.99,868.14
PRECTOTCORR_SUM,1986,10.5,75,7.98,28.48,28.98,46.61,74.72,410.6,190.69,170.46,158.14,71.74,219.94,21.16,1429.5
PRECTOTCORR_SUM,1986,10.5,75.625,6.57,48.05,27.14,41.18,79.56,380.33,188.39,219.25,153.34,72.52,226.22,13.62,1456.17
PRECTOTCORR_SUM,1986,10.5,76.25,6.78,64.22,30.81,40.87,90.29,368.34,175.55,267.12,162.14,90,143.13,8.75,1448
PRECTOTCORR_SUM,1986,10.5,76.875,10.87,56.33,29.27,30.49,71.16,203.19,95.87,183.46,132.39,89.48,100.07,10.51,1013.09
PRECTOTCORR_SUM,1986,10.5,77.5,19.34,30.33,25.43,17,39.72,61.27,33.11,92.37,111.78,80.11,75.95,22.72,609.13
PRECTOTCORR_SUM,1986,11,75,7.19,17.64,22.56,39.42,77.08,526.99,247.53,211.55,154.93,79.76,181.81,20.02,1586.48
PRECTOTCORR_SUM,1986,11,75.625,7.26,23.16,16.97,31.68,72.79,474.14,243.87,228.6,150.41,68.72,181.35,13.65,1512.6
PRECTOTCORR_SUM,1986,11,76.25,8.62,29.52,13.86,27.88,67.22,382.01,199.52,220.77,143.58,67.75,119.66,7.56,1287.95
PRECTOTCORR_SUM,1986,11,76.875,13.53,30.18,15.46,15.25,48.65,154.79,83.69,118.07,111.73,72.8,88.02,9.17,761.34
PRECTOTCORR_SUM,1986,11,77.5,22.26,19.16,19.22,4.6,29.21,36.15,23.64,63.68,107.8,77.28,73.74,22.03,498.77
PRECTOTCORR_SUM,1986,11.5,75,6.66,13.21,18.28,34.53,81.71,666.13,331.69,293.47,161.51,84.95,142.78,24.04,1858.96
PRECTOTCORR_SUM,1986,11.5,75.625,7.04,13.49,11.85,28.05,74.55,599.74,318.41,292.41,156.58,67.2,143.92,16.55,1729.79
PRECTOTCORR_SUM,1986,11.5,76.25,9.3,15.66,6.32,20.9,57.76,393.89,215.69,214.13,137,53.94,112.09,8.04,1244.72
PRECTOTCORR_SUM,1986,11.5,76.875,14.94,19.37,9.17,10.53,42.62,134.31,76.36,94.27,117.18,63.73,90.77,9.55,682.8
PRECTOTCORR_SUM,1986,11.5,77.5,24.24,15.66,15.99,4.46,33.67,43.47,27.83,68.72,137.37,80.92,86.31,21.96,560.6
PRECTOTCORR_SUM,1986,12,75,6.39,13.7,17.34,27.34,81.96,734.42,399.98,371.9,166.9,86.98,124.57,27.9,2059.38
PRECTOTCORR_SUM,1986,12,75.625,6.76,10.91,9.93,21.03,72.85,654.72,371.92,352.66,159.81,65.74,126.9,19.18,1872.41
PRECTOTCORR_SUM,1986,12,76.25,9.69,10.39,3.16,13.94,52.38,369.52,215.91,215.98,136.78,47.75,107.08,9.23,1191.81
PRECTOTCORR_SUM,1986,12,76.875,15.66,14.49,5.6,8.98,45.65,129.34,73.5,90.89,152.21,61.45,88.17,10.74,696.68
PRECTOTCORR_SUM,1986,12,77.5,24.99,13.95,12.07,7.01,44.11,68.11,39.45,82.05,200.76,85.63,90.5,21.12,689.75
PRECTOTCORR_SUM,1986,12.5,75,5.66,12.2,14.47,15.65,73.23,728.93,448.16,440.95,167.36,75.81,131.68,25.45,2139.55
PRECTOTCORR_SUM,1986,12.5,75.625,6.22,9.06,8.01,10.58,64.08,637.87,403,403.71,159.6,58.22,130.07,17.73,1908.15
PRECTOTCORR_SUM,1986,12.5,76.25,10.23,8.93,2.04,7.53,47.16,327.73,205.64,220.3,143.13,45.26,97.95,10.02,1125.92
PRECTOTCORR_SUM,1986,12.5,76.875,16.34,12.72,3.22,7.67,51.06,127.86,70.98,94.45,202.38,63.45,80.2,11.24,741.57
PRECTOTCORR_SUM,1986,12.5,77.5,25.05,13.09,7.39,8.85,54.28,92.04,49.52,88.75,267.46,87.41,82.31,18.52,794.67
PRECTOTCORR_SUM,1986,8.5,75,16.5,46.71,45.73,67.02,98.34,247.72,132.99,157.83,178.96,73.91,71.54,48.56,1185.81
PRECTOTCORR_SUM,1986,8.5,75.625,7.09,70.23,35.6,92.13,97.06,225.33,116.73,197.71,144.15,58.63,108.87,29.32,1182.85
PRECTOTCORR_SUM,1986,8.5,76.25,5.07,60.83,29.9,131.33,137.48,184.75,93.88,204.74,113.07,59.56,152.6,21.63,1194.84
PRECTOTCORR_SUM,1986,8.5,76.875,2.77,41.57,26.52,166.47,172.03,137.98,74.54,198.99,73.81,58.14,181.09,16.7,1150.61
PRECTOTCORR_SUM,1986,8.5,77.5,4.48,31.98,20.58,174.06,141.19,112.22,65.72,181.95,61.51,58.06,177.69,20,1049.44
PRECTOTCORR_SUM,1986,9,75,14.6,51.2,55.81,65.28,76.17,259.47,131,165.28,170.25,70.04,138.68,44.18,1241.96
PRECTOTCORR_SUM,1986,9,75.625,6.41,82.52,57.26,94.41,80.6,239.42,121.19,219.94,138.12,62.53,206.09,31.89,1340.38
PRECTOTCORR_SUM,1986,9,76.25,3.84,92.83,56.65,122.73,135.97,225.19,102.63,260.33,128.33,74.51,215.65,24.09,1442.75
PRECTOTCORR_SUM,1986,9,76.875,2.25,74.5,43.58,144.22,172.9,182.34,80.8,249.94,101.05,70.57,192.24,15.4,1329.79
PRECTOTCORR_SUM,1986,9,77.5,6.3,43.38,27.3,152.2,138.5,125.7,67.29,196.53,80.79,61.66,171.05,19,1089.7
PRECTOTCORR_SUM,1986,9.5,75,12.59,54.03,50.25,66.88,70.23,279.45,138.76,171.09,158.83,65,218.48,39.27,1324.86
PRECTOTCORR_SUM,1986,9.5,75.625,4.6,105.5,58.78,86.09,101.07,293.85,129.31,278.79,149.37,74.95,266.07,23.55,1571.93
PRECTOTCORR_SUM,1986,9.5,76.25,2.12,133.54,68.68,96.6,151.23,314.54,116.04,357.25,168.58,103.54,220.23,16.07,1748.42
PRECTOTCORR_SUM,1986,9.5,76.875,3.43,106.72,56.56,105.36,152.04,244.71,92.64,302.72,142.47,93.8,181.6,13.73,1495.78
PRECTOTCORR_SUM,1986,9.5,77.5,10.78,55.61,35.93,105.89,112.03,135.98,65.22,199.62,111.75,74.77,147.55,21.19,1076.32
PRECTOTCORR_SUM,1987,10,75,4.28,3.54,5.56,53.47,82.23,289.18,67.81,313.76,135.56,198.74,92.59,140.4,1387.12
PRECTOTCORR_SUM,1987,10,75.625,2.75,2.4,3.77,48.7,103.35,349.61,101.51,432.07,110.34,248.44,184.32,129.99,1717.25
PRECTOTCORR_SUM,1987,10,76.25,4.2,0.65,1.98,40.8,117.55,402.53,119.81,507.31,107.53,288.34,285.6,99.76,1976.06
PRECTOTCORR_SUM,1987,10,76.875,3.73,0.12,5.79,39.21,108.17,278.98,83.78,384.25,96.56,255.7,250.35,127.29,1633.93
PRECTOTCORR_SUM,1987,10,77.5,2.74,0.08,18.55,39.07,77.78,123.05,50.12,201.63,93.25,196.1,159.03,179.82,1141.22
PRECTOTCORR_SUM,1987,10.5,75,1.51,5.3,5.04,47.62,79.53,345.36,84.69,328.78,139.16,190.69,89.35,114.75,1431.78
PRECTOTCORR_SUM,1987,10.5,75.625,1.6,4.55,3.93,39.1,85.67,371.67,120.77,372.32,99.38,237.24,154.64,107.74,1598.61
PRECTOTCORR_SUM,1987,10.5,76.25,2.35,1.47,2.27,29.55,97.01,373.58,138.65,372.94,77.05,274.97,228.91,86.44,1685.19
PRECTOTCORR_SUM,1987,10.5,76.875,2.36,0.12,6.59,21.77,79.72,201.67,76.84,231.34,57.79,211.32,187.32,104.47,1181.31
PRECTOTCORR_SUM,1987,10.5,77.5,2.42,0.1,19.2,17.7,42.53,60.66,34.19,93.34,59.79,132.09,110.91,137.22,710.15
PRECTOTCORR_SUM,1987,11,75,1.77,5.62,4.14,43.49,75.1,448.81,125.73,366.36,148.37,202.79,110.76,89.17,1622.11
PRECTOTCORR_SUM,1987,11,75.625,1.23,5.28,3.35,35.06,76.27,446.26,157.71,362.62,101.98,250.59,158.58,89.11,1688.04
PRECTOTCORR_SUM,1987,11,76.25,0.96,1.24,2.28,24.49,81.74,361.57,151.43,289.93,58.85,272.97,198.37,83.46,1527.29
PRECTOTCORR_SUM,1987,11,76.875,1.24,0.09,7.25,15.54,62.26,136.3,61.1,130.42,35.38,185.91,146.12,101.17,882.78
PRECTOTCORR_SUM,1987,11,77.5,2.11,0.14,19.19,12.27,31.11,28.13,20.16,48.56,45.66,113.13,86.51,125.22,532.19
PRECTOTCORR_SUM,1987,11.5,75,2.48,3.13,3.08,39.6,72.64,591.77,184.86,439.06,168.87,229.26,144.56,66.21,1945.52
PRECTOTCORR_SUM,1987,11.5,75.625,1.31,2.88,2.34,31.55,73.72,562.85,207.1,415.46,117.37,272.29,176.35,69.06,1932.28
PRECTOTCORR_SUM,1987,11.5,76.25,0.37,0.33,2.69,21.42,70.21,365.36,157.17,274.78,53.67,259.15,175.98,74.51,1455.64
PRECTOTCORR_SUM,1987,11.5,76.875,0.77,0.05,8.61,17.54,54.38,111.13,51.63,103.88,32.55,168.93,120.49,92.51,762.47
PRECTOTCORR_SUM,1987,11.5,77.5,2.14,0.21,19.07,18.13,35.92,31.2,18.21,59.43,49.63,123.09,80.49,118.25,555.77
PRECTOTCORR_SUM,1987,12,75,2.22,0.83,2.43,30.92,75.44,696.25,240.04,519.48,188.8,249.8,159.61,52.87,2218.69
PRECTOTCORR_SUM,1987,12,75.625,0.91,0.42,1.9,23.17,72.9,633.69,243.89,478.84,131.12,273.21,169.28,54.76,2084.09
PRECTOTCORR_SUM,1987,12,76.25,0.14,0,3.85,18.21,61.21,346.43,148.32,281.5,56.89,221.15,136.77,62.04,1336.51
PRECTOTCORR_SUM,1987,12,76.875,0.61,0.04,10.63,24.61,53.84,104.67,49.34,112.71,43.49,151.19,90.52,74.98,716.63
PRECTOTCORR_SUM,1987,12,77.5,2.27,0.23,18.78,29.6,46.94,49.2,26.86,89.5,62.03,134.76,70.11,98.9,629.18
PRECTOTCORR_SUM,1987,12.5,75,0.91,0.54,1.87,16.51,75.08,737.26,281.63,601.24,174.7,258.59,145.54,45.18,2339.05
PRECTOTCORR_SUM,1987,12.5,75.625,0.21,0.2,1.94,11.73,69.38,643.95,260.52,542.82,125,255.07,137.62,46.25,2094.69
PRECTOTCORR_SUM,1987,12.5,76.25,0.07,0,4.81,15.1,59.19,311.22,131.63,294.72,70.02,182.68,97.68,52.45,1219.57
PRECTOTCORR_SUM,1987,12.5,76.875,0.49,0.03,12.1,31.75,59.98,100.16,48.47,132.43,64.18,141.7,64.71,60.93,716.93
PRECTOTCORR_SUM,1987,12.5,77.5,2.18,0.19,18.05,39.88,58.07,66.53,37,118.94,75.31,139.69,54.43,75.31,685.58
PRECTOTCORR_SUM,1987,8.5,75,23.04,1.97,6.49,70.55,83.01,257.53,43.03,258.07,138.63,212.86,106.21,157.55,1358.94
PRECTOTCORR_SUM,1987,8.5,75.625,6.47,1.98,7.23,92.93,123.02,246,69.44,347.51,128.62,257.14,154.6,229.4,1664.34
PRECTOTCORR_SUM,1987,8.5,76.25,3.73,1.59,8.72,113.2,157.82,221.55,65.4,374.9,139,317.88,188.92,275.88,1868.59
PRECTOTCORR_SUM,1987,8.5,76.875,1.93,0.2,8.78,112.39,185.84,178.34,48.53,364.26,151.86,372.85,199.52,311.93,1936.43
PRECTOTCORR_SUM,1987,8.5,77.5,3,0,10.05,114.33,187.89,149.44,40.95,332.58,154.73,379.37,188.81,322.66,1883.81
PRECTOTCORR_SUM,1987,9,75,21.22,2.35,5.82,65.67,81.39,256.72,47.51,267.51,133.96,204.58,96.08,170.91,1353.72
PRECTOTCORR_SUM,1987,9,75.625,5.73,2.88,5.97,93.77,123.6,262.43,82.3,358.18,130.33,258.27,146.7,238.94,1709.1
PRECTOTCORR_SUM,1987,9,76.25,4.48,2.17,5.91,104.94,154.26,274.31,79.21,431.85,145.93,313.34,225.77,251.33,1993.5
PRECTOTCORR_SUM,1987,9,76.875,2.85,0.27,6.33,95.53,170.38,230.66,55.72,424.09,150.32,346.05,244.18,265.11,1991.49
PRECTOTCORR_SUM,1987,9,77.5,2.34,0.02,12.36,101.22,167.93,164.48,47.31,338.72,150.82,347.7,197.9,301.34,1832.14
PRECTOTCORR_SUM,1987,9.5,75,12.24,2.8,5.88,59.49,81.22,256.32,53.98,291.76,133.05,204.46,97.87,166.62,1365.69
PRECTOTCORR_SUM,1987,9.5,75.625,4.25,2.02,3.95,66.8,117.41,315.21,83.96,438.99,122.47,259.99,196.14,177.13,1788.32
PRECTOTCORR_SUM,1987,9.5,76.25,5.14,0.85,2.57,65.91,138.71,371.1,91.52,550.65,134.81,305.76,305.42,156.24,2128.68
PRECTOTCORR_SUM,1987,9.5,76.875,4.05,0.12,5.08,66.81,141.9,293.72,71.23,471.87,133.1,306.49,284.13,187.55,1966.05
PRECTOTCORR_SUM,1987,9.5,77.5,2.58,0.06,16.17,72.37,127.59,168.98,54.63,308.29,130.6,282.1,197.16,247.79,1608.32
PRECTOTCORR_SUM,1988,10,75,2.48,9.4,25.06,100.8,100.25,483.54,455.95,322.31,240.99,25.06,72.03,15.5,1853.37
PRECTOTCORR_SUM,1988,10,75.625,0.5,5.23,32.83,166.35,98.21,530.24,460.62,331.38,444.99,27.09,67.09,38.49,2203.02
PRECTOTCORR_SUM,1988,10,76.25,0,2.97,46.35,216.8,106.31,522.48,489.91,372.22,633.54,29.4,63.81,65.09,2548.88
